,wage,exper,union,goodhlth,black,female,married,service,educ,looks
0,5.73,10.0,0,1,0,1,1,1,14,1
1,4.28,9.333333333333334,0,1,0,1,1,0,12,0
2,7.96,11.666666666666666,0,1,0,1,0,0,10,1
3,11.57,12.666666666666666,0,1,0,0,1,1,16,1
4,11.42,9.0,0,1,0,0,1,0,16,1
5,3.91,6.666666666666667,0,0,0,1,1,0,12,0
6,8.76,4.0,0,1,0,0,1,0,16,1
7,7.69,1.6666666666666667,1,1,0,0,0,0,16,1
8,5.0,1.6666666666666667,0,1,0,1,0,0,16,0
9,3.89,4.0,0,1,0,1,0,0,12,0
10,3.45,1.0,0,1,0,1,0,0,12,1
11,4.03,2.0,0,1,0,0,1,0,16,1
12,5.14,6.333333333333333,0,1,0,0,1,1,17,0
13,3.0,2.6666666666666665,0,1,0,0,0,1,16,0
14,7.99,4.0,0,1,0,0,1,0,16,1
15,6.01,5.666666666666667,0,1,0,0,1,0,16,1
16,5.16,2.3333333333333335,0,1,0,0,1,0,17,0
17,11.54,4.0,0,1,0,0,1,1,17,1
18,10.44,3.3333333333333335,0,1,0,1,0,0,17,1
19,7.69,2.3333333333333335,0,1,0,1,1,1,16,1
20,7.69,2.3333333333333335,1,1,0,0,0,0,17,1
21,6.79,6.333333333333333,0,1,0,0,1,1,14,0
22,6.87,11.0,0,1,0,0,1,1,12,0
23,17.03,10.666666666666666,0,1,0,0,1,0,13,1
24,10.05,4.0,0,1,0,0,1,0,13,1
25,15.81,8.0,0,1,0,0,1,1,17,1
26,14.84,9.666666666666666,0,1,0,0,0,1,13,1
27,19.08,5.666666666666667,0,1,0,0,0,0,17,1
28,8.35,13.666666666666666,0,0,0,0,1,1,16,0
29,9.62,13.333333333333334,0,0,0,0,1,0,16,1
30,5.96,3.3333333333333335,0,1,0,0,1,0,14,0
31,5.73,14.333333333333334,0,0,0,0,1,0,10,0
32,6.73,13.666666666666666,0,1,0,0,1,0,10,1
33,8.17,6.0,0,1,0,0,1,0,16,0
34,12.39,9.333333333333334,0,1,0,0,1,0,12,1
35,9.62,12.333333333333334,0,1,0,0,1,0,13,0
36,4.83,6.666666666666667,0,1,1,0,1,0,16,1
37,7.69,3.3333333333333335,1,1,0,0,1,0,13,0
38,12.5,10.333333333333334,0,1,0,0,1,0,16,1
39,2.82,6.0,0,1,0,0,1,1,12,0
40,12.31,3.0,1,1,0,0,0,0,17,1
41,13.22,14.0,0,1,0,0,1,0,16,1
42,16.83,4.666666666666667,0,1,0,0,1,0,16,1
43,11.54,9.0,0,1,0,0,1,0,16,1
44,4.95,6.666666666666667,0,1,1,1,0,1,14,0
45,7.21,4.666666666666667,0,1,0,0,1,0,17,1
46,11.58,1.3333333333333333,0,1,0,0,1,0,17,1
47,15.38,4.333333333333333,0,1,0,0,1,0,17,1
48,6.1,1.6666666666666667,0,1,0,0,1,1,17,0
49,7.93,10.666666666666666,0,1,0,0,1,1,17,1
50,9.16,6.333333333333333,1,1,0,1,1,1,17,1
51,6.91,4.666666666666667,0,1,0,1,0,1,17,1
52,20.18,9.333333333333334,0,1,0,0,1,1,17,1
53,9.93,10.333333333333334,1,1,0,0,1,0,17,1
54,7.79,6.0,0,1,0,0,1,0,13,1
55,5.13,7.666666666666667,0,1,0,0,1,1,5,0
56,10.99,4.666666666666667,0,1,0,0,1,0,16,1
57,6.56,5.666666666666667,0,1,0,0,1,0,13,0
58,10.1,5.333333333333333,0,1,0,0,1,0,13,1
59,10.74,6.333333333333333,0,1,0,0,1,0,16,1
60,16.35,8.666666666666666,0,1,0,0,1,0,17,1
61,4.62,6.666666666666667,0,1,0,1,1,1,12,1
62,7.49,6.0,0,1,0,0,1,0,17,1
63,19.23,11.666666666666666,0,1,0,0,1,0,17,1
64,4.77,3.0,0,1,0,1,0,1,17,1
65,7.14,6.666666666666667,0,1,0,1,0,1,17,0
66,14.42,2.3333333333333335,0,1,0,0,1,1,17,1
67,9.28,13.333333333333334,0,1,0,0,0,1,17,1
68,29.98,4.0,0,1,0,0,1,1,17,1
69,32.79,11.0,0,1,0,0,1,1,16,1
70,9.62,5.333333333333333,0,1,0,0,1,0,16,1
71,8.36,5.0,0,1,0,1,1,0,16,1
72,21.63,3.6666666666666665,0,1,0,0,1,1,17,1
73,15.9,8.0,0,1,0,0,1,1,17,1
74,5.77,2.0,0,1,0,0,1,1,17,0
75,20.99,13.333333333333334,0,1,0,0,1,1,17,0
76,23.32,5.0,0,1,0,0,1,1,17,1
77,4.97,3.0,0,1,0,0,1,1,17,1
78,6.89,5.333333333333333,0,1,0,0,1,0,17,0
79,5.73,4.0,0,1,0,1,0,1,13,0
80,5.19,2.6666666666666665,0,1,0,0,1,1,17,0
